COICOP Divisions,Saudi,Non Saudi,Total
Food and beverages,27.60%,28.40%,27.90%
Tobacco,0.40%,1.60%,0.80%
Clothing and footwear,10.60%,6.80%,9.60%
"Housing, water, electricity, gas and other fuels",11.10%,22.30%,14.10%
"Furnishings, household equipment and routine household maintenance",8.30%,3.30%,7.00%
Health,2.00%,1.70%,1.90%
Transport,11.80%,7.00%,10.50%
Information and communication,4.80%,6.00%,5.10%
"Recreation, sport and culture",4.40%,1.40%,3.60%
Education services,1.30%,1.20%,1.30%
Restaurants and accommodation services,11.30%,12.70%,11.70%
Insurance and financial services,0.90%,1.50%,1.10%
"Personal care, social protection and miscellaneous goods and services",5.40%,6.20%,5.60%
